§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§98\n\nDer *Weg* schuf die Einheit.\n_\nZweiheit schuf Dreiheit.\nDreiheit schuf die zehntausend Wesen.\nDie zehntausend Wesen\nTragen das dunkle Yin auf dem Rücken,\nDas lichte Yang in den Armen.\nDer Atem des Leeren macht ihren Einklang.\n	Einheit schuf Zweiheit.
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\n_\nDreiheit schuf die zehntausend Wesen.\nDie zehntausend Wesen\nTragen das dunkle Yin auf dem Rücken,\nDas lichte Yang in den Armen.\nDer Atem des Leeren macht ihren Einklang.\n	Zweiheit schuf Dreiheit.
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\nZweiheit schuf Dreiheit.\n_\nDie zehntausend Wesen\nTragen das dunkle Yin auf dem Rücken,\nDas lichte Yang in den Armen.\nDer Atem des Leeren macht ihren Einklang.\n	Dreiheit schuf die zehntausend Wesen.
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\nZweiheit schuf Dreiheit.\nDreiheit schuf die zehntausend Wesen.\n_\nTragen das dunkle Yin auf dem Rücken,\nDas lichte Yang in den Armen.\nDer Atem des Leeren macht ihren Einklang.\n	Die zehntausend Wesen
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\nZweiheit schuf Dreiheit.\nDreiheit schuf die zehntausend Wesen.\nDie zehntausend Wesen\n_\nDas lichte Yang in den Armen.\nDer Atem des Leeren macht ihren Einklang.\n	Tragen das dunkle Yin auf dem Rücken,
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\nZweiheit schuf Dreiheit.\nDreiheit schuf die zehntausend Wesen.\nDie zehntausend Wesen\nTragen das dunkle Yin auf dem Rücken,\n_\nDer Atem des Leeren macht ihren Einklang.\n	Das lichte Yang in den Armen.
§98\n\nDer *Weg* schuf die Einheit.\nEinheit schuf Zweiheit.\nZweiheit schuf Dreiheit.\nDreiheit schuf die zehntausend Wesen.\nDie zehntausend Wesen\nTragen das dunkle Yin auf dem Rücken,\nDas lichte Yang in den Armen.\n_\n	Der Atem des Leeren macht ihren Einklang.
§99\n\n_\nIst Verwaistheit, Kargheit und Unzulänglichkeit:\nDoch König und Fürst bezeichnen sich selber so.\nWahrlich, die Wesen:\nManch einer mindert sie – sie werden mehr;\nManch einer mehrt sie – doch sie mindern sich.\n	Was die Menschen verabscheun,
§99\n\nWas die Menschen verabscheun,\n_\nDoch König und Fürst bezeichnen sich selber so.\nWahrlich, die Wesen:\nManch einer mindert sie – sie werden mehr;\nManch einer mehrt sie – doch sie mindern sich.\n	Ist Verwaistheit, Kargheit und Unzulänglichkeit:
§99\n\nWas die Menschen verabscheun,\nIst Verwaistheit, Kargheit und Unzulänglichkeit:\n_\nWahrlich, die Wesen:\nManch einer mindert sie – sie werden mehr;\nManch einer mehrt sie – doch sie mindern sich.\n	Doch König und Fürst bezeichnen sich selber so.
§99\n\nWas die Menschen verabscheun,\nIst Verwaistheit, Kargheit und Unzulänglichkeit:\nDoch König und Fürst bezeichnen sich selber so.\n_\nManch einer mindert sie – sie werden mehr;\nManch einer mehrt sie – doch sie mindern sich.\n	Wahrlich, die Wesen:
§99\n\nWas die Menschen verabscheun,\nIst Verwaistheit, Kargheit und Unzulänglichkeit:\nDoch König und Fürst bezeichnen sich selber so.\nWahrlich, die Wesen:\n_\nManch einer mehrt sie – doch sie mindern sich.\n	Manch einer mindert sie – sie werden mehr;
§99\n\nWas die Menschen verabscheun,\nIst Verwaistheit, Kargheit und Unzulänglichkeit:\nDoch König und Fürst bezeichnen sich selber so.\nWahrlich, die Wesen:\nManch einer mindert sie – sie werden mehr;\n_\n	Manch einer mehrt sie – doch sie mindern sich.
§100\n\n_\nDas lehre auch Ich.\nDas Balkenstarke stirbt keinen guten Tod.\nDie wollen Wir zum Vater unserer Lehre nehmen.\n	Was die Menschen lehren,
§100\n\nWas die Menschen lehren,\n_\nDas Balkenstarke stirbt keinen guten Tod.\nDie wollen Wir zum Vater unserer Lehre nehmen.\n	Das lehre auch Ich.
§100\n\nWas die Menschen lehren,\nDas lehre auch Ich.\n_\nDie wollen Wir zum Vater unserer Lehre nehmen.\n	Das Balkenstarke stirbt keinen guten Tod.
§100\n\nWas die Menschen lehren,\nDas lehre auch Ich.\nDas Balkenstarke stirbt keinen guten Tod.\n_\n	Die wollen Wir zum Vater unserer Lehre nehmen.
§101\n\n_\nHolt im Rennen das Allerhärteste ein:\nIns Lückenlose dringt, was ohne Sein.\n	Das Allerweichste der Welt
§101\n\nDas Allerweichste der Welt\n_\nIns Lückenlose dringt, was ohne Sein.\n	Holt im Rennen das Allerhärteste ein:
§101\n\nDas Allerweichste der Welt\nHolt im Rennen das Allerhärteste ein:\n_\n	Ins Lückenlose dringt, was ohne Sein.
§102\n\n_\nWas ohne Tun ist, wird mehr.\nNicht redend lehren,\nOhne Tun sich mehren\nWird auf der Welt nur selten erreicht.\n	Daran erkennen Wir:
§102\n\nDaran erkennen Wir:\n_\nNicht redend lehren,\nOhne Tun sich mehren\nWird auf der Welt nur selten erreicht.\n	Was ohne Tun ist, wird mehr.
§102\n\nDaran erkennen Wir:\nWas ohne Tun ist, wird mehr.\n_\nOhne Tun sich mehren\nWird auf der Welt nur selten erreicht.\n	Nicht redend lehren,
§102\n\nDaran erkennen Wir:\nWas ohne Tun ist, wird mehr.\nNicht redend lehren,\n_\nWird auf der Welt nur selten erreicht.\n	Ohne Tun sich mehren
§102\n\nDaran erkennen Wir:\nWas ohne Tun ist, wird mehr.\nNicht redend lehren,\nOhne Tun sich mehren\n_\n	Wird auf der Welt nur selten erreicht.
§103\n\n_\nLeib oder Gut – welches zählt mehr?\nGewinnen oder Verlieren – welches macht Pein?\nDarum:\nWer allzu sorgsam spart, wird groß vergeuden;\nWer viel sich häuft, in Fülle büßt der ein.\n	Rum oder Leib – was steht dir näher?
§103\n\nRum oder Leib – was steht dir näher?\n_\nGewinnen oder Verlieren – welches macht Pein?\nDarum:\nWer allzu sorgsam spart, wird groß vergeuden;\nWer viel sich häuft, in Fülle büßt der ein.\n	Leib oder Gut – welches zählt mehr?
§103\n\nRum oder Leib – was steht dir näher?\nLeib oder Gut – welches zählt mehr?\n_\nDarum:\nWer allzu sorgsam spart, wird groß vergeuden;\nWer viel sich häuft, in Fülle büßt der ein.\n	Gewinnen oder Verlieren – welches macht Pein?
§103\n\nRum oder Leib – was steht dir näher?\nLeib oder Gut – welches zählt mehr?\nGewinnen oder Verlieren – welches macht Pein?\n_\nWer allzu sorgsam spart, wird groß vergeuden;\nWer viel sich häuft, in Fülle büßt der ein.\n	Darum:
§103\n\nRum oder Leib – was steht dir näher?\nLeib oder Gut – welches zählt mehr?\nGewinnen oder Verlieren – welches macht Pein?\nDarum:\n_\nWer viel sich häuft, in Fülle büßt der ein.\n	Wer allzu sorgsam spart, wird groß vergeuden;
§103\n\nRum oder Leib – was steht dir näher?\nLeib oder Gut – welches zählt mehr?\nGewinnen oder Verlieren – welches macht Pein?\nDarum:\nWer allzu sorgsam spart, wird groß vergeuden;\n_\n	Wer viel sich häuft, in Fülle büßt der ein.
§104\n\n_\nWer Einhalt kennt, ist ohne Gefahr.\nSo kann er dauern und bleibt immerdar.\n	Wer Genügen kennt, bleibt ohne Schande;
§104\n\nWer Genügen kennt, bleibt ohne Schande;\n_\nSo kann er dauern und bleibt immerdar.\n	Wer Einhalt kennt, ist ohne Gefahr.
§104\n\nWer Genügen kennt, bleibt ohne Schande;\nWer Einhalt kennt, ist ohne Gefahr.\n_\n	So kann er dauern und bleibt immerdar.
§105\n\n_\nDoch im Gebrauch bleibt es unverschlissen.\nEin groß Gefülltes scheint wie leer,\nDoch im Gebrauch gibts unendlich her.\nEin groß Aufrechter scheint wie krumm;\nEin großer Könner scheint wie dumm;\nEin großer Redner stockt wie stumm.\n	Ein groß Vollendetes scheint voll von Rissen,
§105\n\nEin groß Vollendetes scheint voll von Rissen,\n_\nEin groß Gefülltes scheint wie leer,\nDoch im Gebrauch gibts unendlich her.\nEin groß Aufrechter scheint wie krumm;\nEin großer Könner scheint wie dumm;\nEin großer Redner stockt wie stumm.\n	Doch im Gebrauch bleibt es unverschlissen.
§105\n\nEin groß Vollendetes scheint voll von Rissen,\nDoch im Gebrauch bleibt es unverschlissen.\n_\nDoch im Gebrauch gibts unendlich her.\nEin groß Aufrechter scheint wie krumm;\nEin großer Könner scheint wie dumm;\nEin großer Redner stockt wie stumm.\n	Ein groß Gefülltes scheint wie leer,
§105\n\nEin groß Vollendetes scheint voll von Rissen,\nDoch im Gebrauch bleibt es unverschlissen.\nEin groß Gefülltes scheint wie leer,\n_\nEin groß Aufrechter scheint wie krumm;\nEin großer Könner scheint wie dumm;\nEin großer Redner stockt wie stumm.\n	Doch im Gebrauch gibts unendlich her.
§105\n\nEin groß Vollendetes scheint voll von Rissen,\nDoch im Gebrauch bleibt es unverschlissen.\nEin groß Gefülltes scheint wie leer,\nDoch im Gebrauch gibts unendlich her.\n_\nEin großer Könner scheint wie dumm;\nEin großer Redner stockt wie stumm.\n	Ein groß Aufrechter scheint wie krumm;
§105\n\nEin groß Vollendetes scheint voll von Rissen,\nDoch im Gebrauch bleibt es unverschlissen.\nEin groß Gefülltes scheint wie leer,\nDoch im Gebrauch gibts unendlich her.\nEin groß Aufrechter scheint wie krumm;\n_\nEin großer Redner stockt wie stumm.\n	Ein großer Könner scheint wie dumm;
§105\n\nEin groß Vollendetes scheint voll von Rissen,\nDoch im Gebrauch bleibt es unverschlissen.\nEin groß Gefülltes scheint wie leer,\nDoch im Gebrauch gibts unendlich her.\nEin groß Aufrechter scheint wie krumm;\nEin großer Könner scheint wie dumm;\n_\n	Ein großer Redner stockt wie stumm.
§106\n\n_\nDurch Stillsein besiegt man die Hitze.\nDurch Reinheit und Stille\nMachst du das Erdreich recht.\n	Durch Ungestüm besiegt man die Kälte;
§106\n\nDurch Ungestüm besiegt man die Kälte;\n_\nDurch Reinheit und Stille\nMachst du das Erdreich recht.\n	Durch Stillsein besiegt man die Hitze.
§106\n\nDurch Ungestüm besiegt man die Kälte;\nDurch Stillsein besiegt man die Hitze.\n_\nMachst du das Erdreich recht.\n	Durch Reinheit und Stille
§106\n\nDurch Ungestüm besiegt man die Kälte;\nDurch Stillsein besiegt man die Hitze.\nDurch Reinheit und Stille\n_\n	Machst du das Erdreich recht.
§107\n\n_\nStell man das Rennpferd zum Dunggeben ein.\nWenn das Erdreich nicht den *Weg* hat,\nZüchtet man Kriegspferde selbst in der Vorstadt.\n	Wenn das Erdreich den *Weg* hat,
§107\n\nWenn das Erdreich den *Weg* hat,\n_\nWenn das Erdreich nicht den *Weg* hat,\nZüchtet man Kriegspferde selbst in der Vorstadt.\n	Stell man das Rennpferd zum Dunggeben ein.
§107\n\nWenn das Erdreich den *Weg* hat,\nStell man das Rennpferd zum Dunggeben ein.\n_\nZüchtet man Kriegspferde selbst in der Vorstadt.\n	Wenn das Erdreich nicht den *Weg* hat,
§107\n\nWenn das Erdreich den *Weg* hat,\nStell man das Rennpferd zum Dunggeben ein.\nWenn das Erdreich nicht den *Weg* hat,\n_\n	Züchtet man Kriegspferde selbst in der Vorstadt.
§108\n\n_\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Kein Frevel größer,
§108\n\nKein Frevel größer,\n_\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Als seinen Wünschen nachzugeben.
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\n_\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Kein Übel größer,
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\n_\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Als nicht Genügen kennen.
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\n_\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Kein Makel größer,
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\n_\nWahrlich:\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Als nach Gewinn zu streben.
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\n_\nWer Genügen kennt am Genügenden,\nWird ständig genug haben.\n	Wahrlich:
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\n_\nWird ständig genug haben.\n	Wer Genügen kennt am Genügenden,
§108\n\nKein Frevel größer,\nAls seinen Wünschen nachzugeben.\nKein Übel größer,\nAls nicht Genügen kennen.\nKein Makel größer,\nAls nach Gewinn zu streben.\nWahrlich:\nWer Genügen kennt am Genügenden,\n_\n	Wird ständig genug haben.
§109\n\n_\nKannst du das Erdreich erfassen;\nOhne durchs Fenster zu spähn,\nDen Weg des Himmels sehn.\nJe weiter wir hinausgegangen,\nDesto geringer wird unser Verstehn.\n	Ohne das Tor zu verlassen,
§109\n\nOhne das Tor zu verlassen,\n_\nOhne durchs Fenster zu spähn,\nDen Weg des Himmels sehn.\nJe weiter wir hinausgegangen,\nDesto geringer wird unser Verstehn.\n	Kannst du das Erdreich erfassen;
§109\n\nOhne das Tor zu verlassen,\nKannst du das Erdreich erfassen;\n_\nDen Weg des Himmels sehn.\nJe weiter wir hinausgegangen,\nDesto geringer wird unser Verstehn.\n	Ohne durchs Fenster zu spähn,
§109\n\nOhne das Tor zu verlassen,\nKannst du das Erdreich erfassen;\nOhne durchs Fenster zu spähn,\n_\nJe weiter wir hinausgegangen,\nDesto geringer wird unser Verstehn.\n	Den Weg des Himmels sehn.
§109\n\nOhne das Tor zu verlassen,\nKannst du das Erdreich erfassen;\nOhne durchs Fenster zu spähn,\nDen Weg des Himmels sehn.\n_\nDesto geringer wird unser Verstehn.\n	Je weiter wir hinausgegangen,
§109\n\nOhne das Tor zu verlassen,\nKannst du das Erdreich erfassen;\nOhne durchs Fenster zu spähn,\nDen Weg des Himmels sehn.\nJe weiter wir hinausgegangen,\n_\n	Desto geringer wird unser Verstehn.
§110\n\n_\nOhne zu wandeln, versteht er;\nOhne zu sehn, benennt er;\nOhne zu tun, vollendet er.\n	Deshalb der Heilige Mensch:
§110\n\nDeshalb der Heilige Mensch:\n_\nOhne zu sehn, benennt er;\nOhne zu tun, vollendet er.\n	Ohne zu wandeln, versteht er;
§110\n\nDeshalb der Heilige Mensch:\nOhne zu wandeln, versteht er;\n_\nOhne zu tun, vollendet er.\n	Ohne zu sehn, benennt er;
§110\n\nDeshalb der Heilige Mensch:\nOhne zu wandeln, versteht er;\nOhne zu sehn, benennt er;\n_\n	Ohne zu tun, vollendet er.
§111\n\n_\nSo mehrst du dich täglich.\nBetreibe den *Weg:\nSo minderst du dich täglich.\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	Betreibe das Lernen:
§111\n\nBetreibe das Lernen:\n_\nBetreibe den *Weg:\nSo minderst du dich täglich.\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	So mehrst du dich täglich.
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\n_\nSo minderst du dich täglich.\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	Betreibe den *Weg:
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\nBetreibe den *Weg:\n_\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	So minderst du dich täglich.
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\nBetreibe den *Weg:\nSo minderst du dich täglich.\n_\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	Mindern und abermals mindern
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\nBetreibe den *Weg:\nSo minderst du dich täglich.\nMindern und abermals mindern\n_\nBleib ohne Tun –\nNichts, das dann ungetan bliebe.\n	Führt dich zum Ohne-Tun.
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\nBetreibe den *Weg:\nSo minderst du dich täglich.\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\n_\nNichts, das dann ungetan bliebe.\n	Bleib ohne Tun –
§111\n\nBetreibe das Lernen:\nSo mehrst du dich täglich.\nBetreibe den *Weg:\nSo minderst du dich täglich.\nMindern und abermals mindern\nFührt dich zum Ohne-Tun.\nBleib ohne Tun –\n_\n	Nichts, das dann ungetan bliebe.
§112\n\n_\nDenn wer beschäftigt ist,\nIst unzulänglich, das Reich zu nehmen.\n	Nimmst du das Reich, sei ständig ohne Geschäft!
§112\n\nNimmst du das Reich, sei ständig ohne Geschäft!\n_\nIst unzulänglich, das Reich zu nehmen.\n	Denn wer beschäftigt ist,
§112\n\nNimmst du das Reich, sei ständig ohne Geschäft!\nDenn wer beschäftigt ist,\n_\n	Ist unzulänglich, das Reich zu nehmen.
§113\n\n_\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	Der Heilige Mensch ist ohne beständigen Sinn:
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\n_\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	Den Sinn der hundert Geschlechter
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\n_\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	Macht er zu seinem Sinn.
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n_\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	»Zu den Guten bin Ich gut.
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\n_\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	Zu den Unguten bin Ich auch gut.»
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\n_\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	So empfängt er Güte.
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n_\nDen Ungetreuen vertraue Ich auch.«\nSo empfängt er Vertrauen.\n	»Den Treuen vertraue Ich.
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\n_\nSo empfängt er Vertrauen.\n	Den Ungetreuen vertraue Ich auch.«
§113\n\nDer Heilige Mensch ist ohne beständigen Sinn:\nDen Sinn der hundert Geschlechter\nMacht er zu seinem Sinn.\n»Zu den Guten bin Ich gut.\nZu den Unguten bin Ich auch gut.»\nSo empfängt er Güte.\n»Den Treuen vertraue Ich.\nDen Ungetreuen vertraue Ich auch.«\n_\n	So empfängt er Vertrauen.
§114\n\n_\nUm des Reiches willen macht er verworren seinen Sinn.\nDie Hundert Geschlechter richten auf ihn Aug und Ohr.\nDer Heilige Mensch begegnet allen wie Kindern.\n	Der Heilige Mensch weilt im Reich voll Ängstlichkeit.
§114\n\nDer Heilige Mensch weilt im Reich voll Ängstlichkeit.\n_\nDie Hundert Geschlechter richten auf ihn Aug und Ohr.\nDer Heilige Mensch begegnet allen wie Kindern.\n	Um des Reiches willen macht er verworren seinen Sinn.
§114\n\nDer Heilige Mensch weilt im Reich voll Ängstlichkeit.\nUm des Reiches willen macht er verworren seinen Sinn.\n_\nDer Heilige Mensch begegnet allen wie Kindern.\n	Die Hundert Geschlechter richten auf ihn Aug und Ohr.
§114\n\nDer Heilige Mensch weilt im Reich voll Ängstlichkeit.\nUm des Reiches willen macht er verworren seinen Sinn.\nDie Hundert Geschlechter richten auf ihn Aug und Ohr.\n_\n	Der Heilige Mensch begegnet allen wie Kindern.
§115\n\n_\n	Austritt ist Leben, Eintritt ist Tod.
§116\n\n_\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Des Lebens Begleiter sind dreizehn.
§116\n\nDes Lebens Begleiter sind dreizehn.\n_\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Des Todes Begleiter sind dreizehn.
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\n_\nSind ebenfalls dreizehn.\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Die tödlichen Stellen in des Menschen Lebensregung
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\n_\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Sind ebenfalls dreizehn.
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\n_\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Und was der Grund?
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\nUnd was der Grund?\n_\nDenn ich habe gehört:\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Er lebt sein Leben zu völlig.
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\n_\nWer es versteht, sein Leben zusammenzuhalten,\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Denn ich habe gehört:
§116\n\nDes Lebens Begleiter sind dreizehn.\nDes Todes Begleiter sind dreizehn.\nDie tödlichen Stellen in des Menschen Lebensregung\nSind ebenfalls dreizehn.\nUnd was der Grund?\nEr lebt sein Leben zu völlig.\nDenn ich habe gehört:\n_\nDer wandelt über Land und trifft nicht Nashorn noch Tiger;\nDer tritt in die Schlacht und trägt nicht Panzer noch Waffen:\nDas Nashorn findet nicht, worein das Horn zu stoßen;\nDer Tiger findet nicht, worein die Klaue zu schlagen;\nDie Waffe findet nicht, worein die Klinge zu bohren.\nUnd was der Grund?\nEr ist ohne tödlich Stellen.\n	Wer es versteht, sein Leben zusammenzuhalten,
